Symbol,Name,Closed Date,Quantity,Sell Price,Cost Basis (CB)
AREB,AMERICAN REBEL HOLDI,06/27/2023,1,$6.13,$0.17
MRAI,MARPAI INC A,06/29/2023,1,$2.18,$0.48
IKT,INHIBIKASE THERAPEUT,06/30/2023,1,$3.37,$0.60
BTCY,BIOTRICITY INC,07/03/2023,1,$3.13,$0.64
PRFX,PAINREFORM LTD,07/03/2023,1,$6.16,$0.56
XXII,22ND CENTY GROUP INC,07/05/2023,1,$4.07,$0.29
AGFY,AGRIFY CORP,07/05/2023,1,$3.35,$0.18
BFRI,BIOFRONTERA INC,07/05/2023,1,$9.25,$0.54
TLIS,TALIS BIOMEDICAL COR,07/06/2023,1,$7.21,$0.51
AUID,AUTHID INC,07/10/2023,1,$6.34,$1.02
UPC,UNIVERSE PHARMACEUTI,07/31/2023,1,$2.12,$0.37
METX,BTC DIGITAL LTD,08/28/2023,1,$2.10,$0.17
FFIE,FARADAY FUTURE INTEL,08/28/2023,1,$10.56,$0.16
MNTS,MOMENTUS INC A,08/28/2023,1,$8.33,$0.24
SUNL,SUNLIGHT FINL HOLDIN A,08/28/2023,1,$2.14,$0.12
SQL,SEQLL INC,08/31/2023,1,$15.83,$0.40
GROM,GROM SOCIAL ENTERPRI,09/07/2023,1,$5.76,$0.29
RVYL,RYVYL INC,09/07/2023,1,$5.30,$5.30
LFLY,LEAFLY HLDGS INC,09/12/2023,1,$10.53,$0.64
RVYL,RYVYL INC,09/12/2023,1,$6.60,$5.10
ASTI,ASCENT SOLAR TECH,09/13/2023,1,$9.20,$0.05
AVGR,AVINGER INC,09/13/2023,1,$4.88,$0.41
KXIN,KAIXIN AUTO HLDGS,09/15/2023,1,$2.85,$0.23
AEHL,ANTELOPE ENTERPRISE A,09/18/2023,1,$3.09,$0.33
AYRO,AYRO INC,09/18/2023,1,$3.36,$0.49
CNXA,CONNEXA SPORTS TECHN,09/25/2023,1,$4.74,$0.14
EJH,E-HOME HOUSEHOLD SVC,09/25/2023,1,$0.92,$0.09
SASI,SIGMA ADDITIVE SOLUT,09/25/2023,1,$3.66,$0.19
PIXY,SHIFTPIXY INC,09/29/2023,1,$0.80,$0.78
EBET,EBET INC,10/02/2023,1,$0.71,$0.03
SVFD,SAVE FOODS INC,10/06/2023,1,$2.97,$0.55
AGRI,AGRIFORCE GROWING SY,10/12/2023,1,$3.13,$0.08
LIFW,MSP RECOVERY INC A,10/13/2023,1,$1.74,$0.14
SLNH,SOLUNA HOLDINGS INC,10/18/2023,1,$2.90,$0.18
CPOP,POP CULTURE GROUP CO A,10/27/2023,1,$2.23,$0.34
SMFL,SMART FOR LIFE INC,10/27/2023,1,$2.01,$0.71
BYU,BAIYU HLDGS INC,10/30/2023,1,$2.60,$0.08
VVOS,VIVOS THERAPEUTICS I,10/31/2023,1,$6.40,$3.80
JFBR,JEFFS BRANDS LTD,11/03/2023,1,$2.79,$1.64
NVOS,NOVO INTEGRATED SCIE,11/08/2023,1,$1.91,$0.14
PRE,PRENETICS GLOBAL LTD A,11/14/2023,1,$5.38,$0.34
THAR,THARIMMUNE INC,11/21/2023,1,$3.52,$0.18
YOSH,YOSHIHARU GLOBAL CO A,11/30/2023,1,$5.85,$0.45
CING,CINGULATE INC,12/04/2023,1,$5.09,$0.33
LQR,LQR HSE INC,12/04/2023,1,$1.35,$0.03
UK,UCOMMUNE INTL LTD A,12/04/2023,1,$3.50,$0.35
ENG,ENGLOBAL CORP,12/05/2023,1,$1.99,$0.24
MCOM,MICROMOBILITYCOM INC A,12/06/2023,1,$1.14,$0.01
ZVSA,ZYVERSA THERAPEUTICS,12/07/2023,1,$1.29,$0.06
PAVM,PAVMED INC,12/11/2023,1,$2.92,$0.22
SNCE,SCIENCE 37 HLDGS INC,12/12/2023,1,$4.18,$0.25
AUVI,APPLIED UV INC NV,12/14/2023,1,$1.70,$0.09
VRAX,VIRAX BIOLABS GROUP,12/20/2023,1,$1.48,$0.18
CENN,CENNTRO ELECTRIC GRO,12/21/2023,1,$1.45,$0.16
MULN,MULLEN AUTOMOTIVE IN,12/21/2023,1,$15.90,$0.09
WNW,MEIWU TECHNOLOGY CO,12/26/2023,1,$2.20,$0.08
SIDU,SIDUS SPACE INC A,12/26/2023,1,$4.03,$0.04
AVTX,AVALO THERAPEUTICS I,12/29/2023,1,$9.34,$0.05
NXU,NXU INC A,12/29/2023,1,$2.21,$0.02
TENX,TENAX THERAPEUTICS,01/03/2024,1,$16.90,$0.26
TBLT,TOUGHBUILT INDS INC,01/03/2024,1,$7.63,$0.16
ACON,ACLARION INC,01/09/2024,1,$3.25,$0.20
DSS,DSS INC,01/09/2024,1,$2.06,$0.14
GMBL,ESPORTS ENTERTAINMEN,01/09/2024,1,$3.24,$0.01
BETS,BIT BRO LTD A,01/10/2024,1,$5.09,$0.04
TTNP,TITAN PHARMACEUTICAL,01/12/2024,3,$26.73,$19.80
RVIVD,REVIV3 PROCARE CO,01/17/2024,1,$2.67,$7.46
RNAZ,TRANSCODE THERAPEUTI,01/18/2024,1,$1.94,$0.14
DTSS,DATASEA INC,01/22/2024,1,$0.11,$0.11
DTSS,DATASEA INC,01/24/2024,1,$1.77,$0.11
NVVE,NUVVE HLDG CORP,01/24/2024,1,$5.20,$0.08
PCSA,PROCESSA PHARMACEUTI,01/24/2024,1,$2.15,$0.50
REVB,REVELATION BIOSCIENC,01/29/2024,1,$18.54,$0.37
INBS,INTELLIGENT BIO SOLU,02/01/2024,1,$2.36,$0.21
MMAT,META MATLS INC,02/01/2024,1,$3.56,$0.06
UAVS,AGEAGLE AERIAL SYSTE,02/05/2024,1,$0.07,$0.07
CMAX,CAREMAX INC A,02/05/2024,1,$7.20,$0.45
SGLY,SINGULARITY FUTURE T,02/05/2024,1,$0.58,$0.63
SGLY,SINGULARITY FUTURE T,02/05/2024,1,$0.58,$0.62
VCNX,VACCINEX INC,02/23/2024,1,$7.67,$0.73
AUUD,AUDDIA INC,02/27/2024,1,$3.19,$0.17
BSGM,BIOSIG TECHNOLOGIES,02/27/2024,1,$0.49,$0.16
CLEU,CHINA LIBERAL ED HLD,02/27/2024,1,$2.16,$0.17
EJH,E-HOME HOUSEHOLD SVC,02/27/2024,1,$1.70,$0.44
GNPX,GENPREX INC,02/27/2024,1,$4.38,$0.19
GRYP,GRYPHON DIGITAL MNG,02/27/2024,1,$2.52,$0.28
LYT,LYTUS TECHNOLOGIES H,02/27/2024,1,$2.81,$0.05
PHUN,PHUNWARE INC,02/27/2024,1,$7.88,$0.16
SISI,SHINECO INC,02/27/2024,1,$1.19,$0.13
SGLY,SINGULARITY FUTURE T,02/27/2024,1,$2.58,$0.63
ATNF,180 LIFE SCIENCES CO,03/01/2024,1,$3.37,$0.21
CJJD,CHINA JOJO DRUGSTORE,03/01/2024,1,$2.99,$0.18
RETO,RETO ECO SOLUTIONS I,03/01/2024,1,$2.43,$0.36
BTTR,BETTER CHOICE CO INC,03/22/2024,1,$6.60,$0.17
LMFA,L M FUNDING AMERICA,03/22/2024,1,$2.70,$0.53
MLGO,MICROALGO INC,03/22/2024,1,$3.91,$0.43
MBRX,MOLECULIN BIOTECH IN,03/22/2024,1,$5.79,$0.47
XTIA,XTI AEROSPACE INC,03/22/2024,1,$2.13,$0.06
ZCMD,ZHONGCHAO INC A,03/22/2024,1,$1.59,$0.36
AWIN,AERWINS TECHNOLOGIES,04/04/2024,1,$5.04,$0.07
CISO,CISO GLOBAL INC,04/04/2024,1,$1.27,$0.09
EDBL,EDIBLE GARDEN AG INC,04/04/2024,1,$0.44,$0.43
NRXP,NRX PHARMACEUTICALS,04/04/2024,1,$5.03,$0.49
DCFC,TRITIUM DCFC LTD,04/04/2024,1,$7.62,$0.05
UCAR,U POWER LTD,04/04/2024,1,$6.10,$0.05
EMKR,EMCORE CORP,04/08/2024,1,$3.23,$0.34
TCON,TRACON PHARMACEUTL,04/11/2024,1,$2.92,$0.18
MI,NFT LTD A,04/23/2024,1,$3.83,$0.15
CTHR,CHARLES & COLVARD,05/17/2024,1,$2.55,$0.30
VINO,GAUCHO GROUP HLDGS I,05/17/2024,1,$4.38,$0.63
GSUN,GOLDEN SUN HEALTH TE A,05/17/2024,1,$4.97,$0.49
HSCS,HEART TEST LABORATOR,05/17/2024,1,$6.84,$0.13
NUTX,NUTEX HEALTH INC,05/17/2024,1,$0.71,$0.08
RCON,RECON TECHNOLOGY LTD A,05/17/2024,1,$1.68,$0.10
SMFL,SMART FOR LIFE INC,05/17/2024,1,$3.06,$0.48
SOPA,SOCIETY PASS INC EQUITY,05/17/2024,1,$1.81,$0.12
WINT,WINDTREE THERAPEUTIC,05/17/2024,1,$4.41,$0.35
ZAPP,ZAPP ELECTRIC VEHS G,05/17/2024,1,$1.31,$0.15
ZVSA,ZYVERSA THERAPEUTICS EQUITY,05/17/2024,1,$4.60,$0.62
SINT,SINTX TECHNOLOGIES I,05/28/2024,1,$9.15,$0.08
THAR,THARIMMUNIE INC,05/28/2024,1,$4.32,$0.33
GWAV,GREENWAVE TECHNOLOGY,05/30/2024,1,$0.04,$0.04
NBY,NOVABAY PHARMACEUTL EQUITY,05/30/2024,1,$0.10,$0.10
GWAV,GREENWAVE TECHNOLOGY,06/03/2024,1,$4.17,$0.04
NBY,NOVABAY PHARMACEUTL EQUITY,06/03/2024,1,$3.17,$0.10
OPGN,OPGEN INC EQUITY,06/03/2024,1,$2.82,$0.47
PLAG,PLANET GREEN HLDGS C,06/03/2024,1,$1.75,$0.20
CNSP,CNS PHARMACEUTICALS,06/06/2024,1,$5.12,$0.14
TNXP,TONIX PHARMA HLDGS EQUITY,06/13/2024,1,$1.11,$0.11
CEAD,CEA INDUSTRIES INC,06/17/2024,1,$6.88,$0.71
TRNR,INTERACTIVE STRENGTH EQUITY,06/17/2024,1,$5.26,$0.09
STRR,STAR EQUITY HLDGS IN,06/17/2024,1,$3.81,$0.81
FORD,FORWARD INDS INC,06/24/2024,1,$4.10,$0.50
VSME,VS MEDIA HOLDINGS LT A,06/24/2024,1,$1.57,$0.21
CRKN,CROWN ELECTROKINETIC,06/25/2024,1,$4.05,$0.04
YYAI,CONNEXA SPORTS TECHN EQUITY,06/28/2024,1,$8.01,$0.40
STAF,STAFFING 360 SOLUT,06/28/2024,1,$2.51,$0.21
ASST,ASSET ENTITIES INC B,07/05/2024,1,$1.40,$0.32
CJET,CHIJET MOTOR CO INC,07/05/2024,1,$0.30,$0.30
DARE,DARE BIOSCIENCE INC EQUITY,07/05/2024,1,$3.10,$0.36
JZXN,JIUZI HLDGS INC,07/05/2024,1,$3.35,$0.31
KORE,KORE GROUP HLDGS INC,07/05/2024,1,$1.46,$0.51
YGMZ,MINGZHU LOGISTICS HO,07/05/2024,1,$1.40,$0.35
RELI,RELIANCE GLOBAL GROU EQUITY,07/05/2024,1,$3.92,$0.23